menu_fd_Code,menu_fd_Nm,upper_Fd_Grupp_Nm,fd_Grupp_Nm,ingredient_text,document
D071020,알찜(대구),찜류,어패류찜,"무, 조선무, 생것, 대구, 알, 생것, 양파, 데친것, 파, 쪽파, 생것, 간장, 개량, 양조, 마늘, 생것, 참깨, 흰색, 볶은것, 참기름","메뉴명: 알찜(대구)
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 무, 조선무, 생것, 대구, 알, 생것, 양파, 데친것, 파, 쪽파, 생것, 간장, 개량, 양조, 마늘, 생것, 참깨, 흰색, 볶은것, 참기름"
D071021,오징어순대,찜류,어패류찜,"오징어, 구운것, 두부, 미나리, 물미나리, 데친것, 부추, 재래종, 데친것, 양파, 데친것, 파, 쪽파, 생것, 피망, 초록색, 데친것, 간장, 개량, 양조, 마늘, 생것, 소금, 천일염, 가는소금, 후추, 검은색, 가루","메뉴명: 오징어순대
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 오징어, 구운것, 두부, 미나리, 물미나리, 데친것, 부추, 재래종, 데친것, 양파, 데친것, 파, 쪽파, 생것, 피망, 초록색, 데친것, 간장, 개량, 양조, 마늘, 생것, 소금, 천일염, 가는소금, 후추, 검은색, 가루"
D071022,오징어찜,찜류,어패류찜,"오징어, 구운것, 콩나물, 삶은것, 미더덕, 생것, 미나리, 물미나리, 데친것, 파, 쪽파, 생것, 간장, 개량, 양조, 소금, 천일염, 가는소금, 고춧가루, 참깨, 흰색, 볶은것, 마늘, 생것, 설탕, 백설탕","메뉴명: 오징어찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 오징어, 구운것, 콩나물, 삶은것, 미더덕, 생것, 미나리, 물미나리, 데친것, 파, 쪽파, 생것, 간장, 개량, 양조, 소금, 천일염, 가는소금, 고춧가루, 참깨, 흰색, 볶은것, 마늘, 생것, 설탕, 백설탕"
D071023,우럭찜,찜류,어패류찜,"볼락, 조피볼락(우럭), 생것, 무, 조선무, 생것, 미나리, 물미나리, 데친것, 양파, 데친것, 콩나물, 삶은것, 간장, 개량, 양조, 쑥갓, 데친것, 고춧가루, 참깨, 흰색, 볶은것, 마늘, 생것, 참기름","메뉴명: 우럭찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 볼락, 조피볼락(우럭), 생것, 무, 조선무, 생것, 미나리, 물미나리, 데친것, 양파, 데친것, 콩나물, 삶은것, 간장, 개량, 양조, 쑥갓, 데친것, 고춧가루, 참깨, 흰색, 볶은것, 마늘, 생것, 참기름"
D071024,조기찜,찜류,어패류찜,"조기(참조기), 생것, 간장, 개량, 양조, 파, 대파, 생것, 고춧가루, 소금, 천일염, 가는소금, 참깨, 흰색, 볶은것, 마늘, 생것, 참기름","메뉴명: 조기찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 조기(참조기), 생것, 간장, 개량, 양조, 파, 대파, 생것, 고춧가루, 소금, 천일염, 가는소금, 참깨, 흰색, 볶은것, 마늘, 생것, 참기름"
D071025,코다리찜,찜류,어패류찜,"명태, 코다리, 반건조, 구운것, 무, 조선무, 생것, 간장, 개량, 양조, 설탕, 백설탕, 파, 대파, 생것, 고춧가루, 마늘, 생것","메뉴명: 코다리찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 명태, 코다리, 반건조, 구운것, 무, 조선무, 생것, 간장, 개량, 양조, 설탕, 백설탕, 파, 대파, 생것, 고춧가루, 마늘, 생것"
D071026,홍어찜,찜류,어패류찜,"홍어, 생것, 무, 조선무, 생것, 미나리, 물미나리, 데친것, 양파, 데친것, 콩나물, 삶은것, 간장, 개량, 양조, 쑥갓, 데친것, 고춧가루, 참깨, 흰색, 볶은것, 마늘, 생것, 참기름","메뉴명: 홍어찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 홍어, 생것, 무, 조선무, 생것, 미나리, 물미나리, 데친것, 양파, 데친것, 콩나물, 삶은것, 간장, 개량, 양조, 쑥갓, 데친것, 고춧가루, 참깨, 흰색, 볶은것, 마늘, 생것, 참기름"
D071037,서대찜,찜류,어패류찜,"서대, 참서대, 생것, 파, 대파, 생것, 참기름, 고추, 빨간색, 말린것","메뉴명: 서대찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 서대, 참서대, 생것, 파, 대파, 생것, 참기름, 고추, 빨간색, 말린것"
D071043,대하찜,찜류,어패류찜,"새우, 대하, 생것, 달걀, 생것, 미나리, 돌미나리, 생것, 석이버섯, 말린것, 고추, 빨간색, 생것, 소금, 천일염, 가는소금, 발효주, 청주, 알코올 16%, 후추, 검은색, 가루","메뉴명: 대하찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 새우, 대하, 생것, 달걀, 생것, 미나리, 돌미나리, 생것, 석이버섯, 말린것, 고추, 빨간색, 생것, 소금, 천일염, 가는소금, 발효주, 청주, 알코올 16%, 후추, 검은색, 가루"
D071044,어선,찜류,어패류찜,"민어, 생것, 소고기, 한우(1등급), 우둔, 생것, 석이버섯, 말린것, 당근, 뿌리, 생것, 오이, 취청, 생것, 달걀, 생것, 전분, 감자, 가루, 소금, 천일염, 가는소금, 후추, 흰색, 가루, 콩기름, 표고버섯, 배지재배, 말린것, 파, 대파, 생것, 마늘, 생것, 설탕, 백설탕, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루, 간장, 개량, 양조, 식초, 감식초, 겨자 페이스트","메뉴명: 어선
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 민어, 생것, 소고기, 한우(1등급), 우둔, 생것, 석이버섯, 말린것, 당근, 뿌리, 생것, 오이, 취청, 생것, 달걀, 생것, 전분, 감자, 가루, 소금, 천일염, 가는소금, 후추, 흰색, 가루, 콩기름, 표고버섯, 배지재배, 말린것, 파, 대파, 생것, 마늘, 생것, 설탕, 백설탕, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루, 간장, 개량, 양조, 식초, 감식초, 겨자 페이스트"
D071045,수삼전복찜,찜류,어패류찜,"인삼, 수삼, 생것, 전복, 둥근전복, 생것, 대추, 말린것, 소금, 천일염, 가는소금, 꿀, 식초, 감식초","메뉴명: 수삼전복찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 인삼, 수삼, 생것, 전복, 둥근전복, 생것, 대추, 말린것, 소금, 천일염, 가는소금, 꿀, 식초, 감식초"
D071046,장어찜,찜류,어패류찜,"장어, 뱀장어, 생것, 우유, 후추, 흰색, 가루, 우엉, 생것, 인삼, 백삼, 말린것, 미나리, 물미나리, 생것, 팽이버섯, 생것, 양파, 생것, 고추, 초록색, 녹광, 생것, 고추, 빨간색, 생것, 간장, 개량, 양조","메뉴명: 장어찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 장어, 뱀장어, 생것, 우유, 후추, 흰색, 가루, 우엉, 생것, 인삼, 백삼, 말린것, 미나리, 물미나리, 생것, 팽이버섯, 생것, 양파, 생것, 고추, 초록색, 녹광, 생것, 고추, 빨간색, 생것, 간장, 개량, 양조"
D071047,모듬해물찜,찜류,어패류찜,"전복, 북방전복, 생것, 새우, 중하, 생것, 소라, 생것, 마늘, 생것, 파, 대파, 생것, 고추, 초록색, 녹광, 생것, 고추, 빨간색, 생것, 피망, 빨간색, 생것, 양파, 생것, 할라페뇨, 통조림, 간장, 개량, 양조, 과당, 참기름, 후추, 흰색, 가루, 생수","메뉴명: 모듬해물찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 전복, 북방전복, 생것, 새우, 중하, 생것, 소라, 생것, 마늘, 생것, 파, 대파, 생것, 고추, 초록색, 녹광, 생것, 고추, 빨간색, 생것, 피망, 빨간색, 생것, 양파, 생것, 할라페뇨, 통조림, 간장, 개량, 양조, 과당, 참기름, 후추, 흰색, 가루, 생수"
D071048,오징어콩순대,찜류,어패류찜,"오징어, 생것, 옥수수, 찰옥수수, 생것, 귀리, 쌀귀리, 도정, 밥, 강낭콩, 생것, 당근, 뿌리, 생것, 미니파프리카, 노란색, 생것, 피망, 초록색, 생것, 파, 대파, 생것, 양파, 생것, 카레 소스, 가루, 후추, 흰색, 가루, 마늘, 다진것, 참기름, 밀, 중력밀가루, 레몬 착즙","메뉴명: 오징어콩순대
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 오징어, 생것, 옥수수, 찰옥수수, 생것, 귀리, 쌀귀리, 도정, 밥, 강낭콩, 생것, 당근, 뿌리, 생것, 미니파프리카, 노란색, 생것, 피망, 초록색, 생것, 파, 대파, 생것, 양파, 생것, 카레 소스, 가루, 후추, 흰색, 가루, 마늘, 다진것, 참기름, 밀, 중력밀가루, 레몬 착즙"
D071049,코다리맑은찜,찜류,어패류찜,"명태, 코다리, 반건조, 콩나물, 생것, 미나리, 물미나리, 생것, 갯나물, 퉁퉁마디(함초), 하우스, 생것, 무, 조선무, 생것, 소금, 가공염, 퉁퉁마디(함초), 간장, 개량, 양조, 생강청, 후추, 흰색, 가루, 발효주, 청주, 알코올 16%, 레몬 착즙, 마늘, 다진것, 겨자 페이스트, 참깨, 흰색, 볶은것","메뉴명: 코다리맑은찜
메뉴 대분류: 찜류
메뉴 소분류: 어패류찜
식재료: 명태, 코다리, 반건조, 콩나물, 생것, 미나리, 물미나리, 생것, 갯나물, 퉁퉁마디(함초), 하우스, 생것, 무, 조선무, 생것, 소금, 가공염, 퉁퉁마디(함초), 간장, 개량, 양조, 생강청, 후추, 흰색, 가루, 발효주, 청주, 알코올 16%, 레몬 착즙, 마늘, 다진것, 겨자 페이스트, 참깨, 흰색, 볶은것"
D072001,닭고기찜,찜류,육류찜,"닭고기, 영계, 삶은것, 감자, 대지, 삶은것, 당근, 뿌리, 데친것, 양파, 데친것, 간장, 개량, 양조, 생강, 뿌리줄기, 생것, 표고버섯, 참나무재배, 말린것, 삶은것, 피망, 초록색, 데친것, 발효주, 청주, 알코올 16%, 콩기름, 마늘, 생것, 설탕, 백설탕, 후추, 검은색, 가루","메뉴명: 닭고기찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 닭고기, 영계, 삶은것, 감자, 대지, 삶은것, 당근, 뿌리, 데친것, 양파, 데친것, 간장, 개량, 양조, 생강, 뿌리줄기, 생것, 표고버섯, 참나무재배, 말린것, 삶은것, 피망, 초록색, 데친것, 발효주, 청주, 알코올 16%, 콩기름, 마늘, 생것, 설탕, 백설탕, 후추, 검은색, 가루"
D072002,도가니수육,찜류,육류찜,"소고기, 한우(1등급), 설도(도가니살), 생것, 소고기, 한우, 양지, 삶은것, 마늘, 생것, 파, 대파, 생것, 소금, 천일염, 가는소금, 후추, 검은색, 가루","메뉴명: 도가니수육
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우(1등급), 설도(도가니살), 생것, 소고기, 한우, 양지, 삶은것, 마늘, 생것, 파, 대파, 생것, 소금, 천일염, 가는소금, 후추, 검은색, 가루"
D072003,돼지갈비찜(고추장),찜류,육류찜,"돼지고기, 갈비, 삶은것, 감자, 대지, 삶은것, 양파, 데친것, 간장, 개량, 양조, 고추장, 개량, 파, 쪽파, 생것, 설탕, 백설탕, 소금, 천일염, 가는소금, 고춧가루, 마늘, 생것, 생강, 뿌리줄기, 생것, 참기름","메뉴명: 돼지갈비찜(고추장)
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지고기, 갈비, 삶은것, 감자, 대지, 삶은것, 양파, 데친것, 간장, 개량, 양조, 고추장, 개량, 파, 쪽파, 생것, 설탕, 백설탕, 소금, 천일염, 가는소금, 고춧가루, 마늘, 생것, 생강, 뿌리줄기, 생것, 참기름"
D072004,돼지고기찜,찜류,육류찜,"돼지고기, 사태, 삶은것, 간장, 개량, 양조, 된장, 개량, 마늘, 생것, 파, 대파, 생것, 생강, 뿌리줄기, 생것, 설탕, 백설탕","메뉴명: 돼지고기찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지고기, 사태, 삶은것, 간장, 개량, 양조, 된장, 개량, 마늘, 생것, 파, 대파, 생것, 생강, 뿌리줄기, 생것, 설탕, 백설탕"
D072005,돼지족발찜,찜류,육류찜,"돼지 부산물, 족발, 삶은것, 물엿, 간장, 개량, 양조, 마늘, 생것, 생강, 뿌리줄기, 생것, 된장, 개량, 설탕, 백설탕, 월계수, 잎, 말린것, 후추, 검은색, 가루","메뉴명: 돼지족발찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지 부산물, 족발, 삶은것, 물엿, 간장, 개량, 양조, 마늘, 생것, 생강, 뿌리줄기, 생것, 된장, 개량, 설탕, 백설탕, 월계수, 잎, 말린것, 후추, 검은색, 가루"
D072006,소갈비찜(양조간장),찜류,육류찜,"소고기, 한우, 갈비, 생것, 양파, 데친것, 간장, 개량, 양조, 파, 대파, 생것, 마늘, 생것, 설탕, 백설탕, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루","메뉴명: 소갈비찜(양조간장)
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우, 갈비, 생것, 양파, 데친것, 간장, 개량, 양조, 파, 대파, 생것, 마늘, 생것, 설탕, 백설탕, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루"
D072007,소갈비찜(재래간장),찜류,육류찜,"소고기, 한우, 갈비, 생것, 배, 신고, 생것, 양파, 데친것, 간장, 재래, 참기름, 대추, 말린것, 마늘, 생것, 설탕, 백설탕, 고추, 빨간색, 생것, 고추, 풋고추, 생것, 발효주, 청주, 알코올 16%","메뉴명: 소갈비찜(재래간장)
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우, 갈비, 생것, 배, 신고, 생것, 양파, 데친것, 간장, 재래, 참기름, 대추, 말린것, 마늘, 생것, 설탕, 백설탕, 고추, 빨간색, 생것, 고추, 풋고추, 생것, 발효주, 청주, 알코올 16%"
D072008,소꼬리찜,찜류,육류찜,"소 부산물, 꼬리, 생것, 물엿, 간장, 재래, 마늘, 생것, 생강, 뿌리줄기, 생것, 된장, 개량, 설탕, 백설탕, 후추, 검은색, 가루","메뉴명: 소꼬리찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소 부산물, 꼬리, 생것, 물엿, 간장, 재래, 마늘, 생것, 생강, 뿌리줄기, 생것, 된장, 개량, 설탕, 백설탕, 후추, 검은색, 가루"
D072009,편육(돼지고기),찜류,육류찜,"돼지 부산물, 머리고기, 삶은것, 새우, 젓갈, 토굴육젓, 참깨, 흰색, 볶은것, 마늘, 생것, 고춧가루, 파, 대파, 생것","메뉴명: 편육(돼지고기)
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지 부산물, 머리고기, 삶은것, 새우, 젓갈, 토굴육젓, 참깨, 흰색, 볶은것, 마늘, 생것, 고춧가루, 파, 대파, 생것"
D072010,갈비찜,찜류,육류찜,"소고기, 한우, 갈비, 생것, 무, 조선무, 생것, 당근, 뿌리, 데친것, 표고버섯, 참나무재배, 말린것, 삶은것, 은행, 삶은것, 양파, 데친것, 마늘, 생것, 파, 대파, 생것","메뉴명: 갈비찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우, 갈비, 생것, 무, 조선무, 생것, 당근, 뿌리, 데친것, 표고버섯, 참나무재배, 말린것, 삶은것, 은행, 삶은것, 양파, 데친것, 마늘, 생것, 파, 대파, 생것"
D072018,닭고기찜,찜류,육류찜,"닭고기, 영계, 삶은것, 감자, 대지, 삶은것, 당근, 뿌리, 데친것, 양파, 데친것, 간장, 개량, 양조, 생강, 뿌리줄기, 생것, 표고버섯, 참나무재배, 말린것, 삶은것, 피망, 초록색, 데친것, 발효주, 청주, 알코올 16%, 콩기름, 마늘, 생것, 설탕, 백설탕, 후추, 검은색, 가루","메뉴명: 닭고기찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 닭고기, 영계, 삶은것, 감자, 대지, 삶은것, 당근, 뿌리, 데친것, 양파, 데친것, 간장, 개량, 양조, 생강, 뿌리줄기, 생것, 표고버섯, 참나무재배, 말린것, 삶은것, 피망, 초록색, 데친것, 발효주, 청주, 알코올 16%, 콩기름, 마늘, 생것, 설탕, 백설탕, 후추, 검은색, 가루"
D072019,사태편육,찜류,육류찜,"소고기, 한우(1등급), 사태, 생것, 소금, 천일염, 가는소금, 파, 대파, 생것, 마늘, 생것, 간장, 개량, 양조, 식초, 감식초, 설탕, 백설탕, 잣, 볶은것","메뉴명: 사태편육
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우(1등급), 사태, 생것, 소금, 천일염, 가는소금, 파, 대파, 생것, 마늘, 생것, 간장, 개량, 양조, 식초, 감식초, 설탕, 백설탕, 잣, 볶은것"
D072020,쇠고기떡찜,찜류,육류찜,"소고기, 한우(1등급), 우둔, 생것, 멥쌀떡, 가래떡, 당근, 뿌리, 생것, 밤, 생것, 간장, 개량, 양조, 배즙, 물엿, 마늘, 생것, 파, 대파, 생것, 설탕, 백설탕, 생강, 뿌리줄기, 생것, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루","메뉴명: 쇠고기떡찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우(1등급), 우둔, 생것, 멥쌀떡, 가래떡, 당근, 뿌리, 생것, 밤, 생것, 간장, 개량, 양조, 배즙, 물엿, 마늘, 생것, 파, 대파, 생것, 설탕, 백설탕, 생강, 뿌리줄기, 생것, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루"
D072021,가래떡소고기찜,찜류,육류찜,"멥쌀떡, 가래떡, 표고버섯, 참나무재배, 말린것, 삶은것, 소고기, 한우(1등급), 우둔, 생것, 생수, 파, 쪽파, 생것, 치커리, 잎, 생것, 양파, 적색, 생것, 미나리, 돌미나리, 생것, 밤, 생것, 고추, 빨간색, 말린것, 설탕, 백설탕, 매실청, 간장, 개량, 양조, 맛술, 발효주, 청주, 알코올 16%, 마늘, 생것, 파, 대파, 생것, 참기름, 후추, 검은색, 가루","메뉴명: 가래떡소고기찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 멥쌀떡, 가래떡, 표고버섯, 참나무재배, 말린것, 삶은것, 소고기, 한우(1등급), 우둔, 생것, 생수, 파, 쪽파, 생것, 치커리, 잎, 생것, 양파, 적색, 생것, 미나리, 돌미나리, 생것, 밤, 생것, 고추, 빨간색, 말린것, 설탕, 백설탕, 매실청, 간장, 개량, 양조, 맛술, 발효주, 청주, 알코올 16%, 마늘, 생것, 파, 대파, 생것, 참기름, 후추, 검은색, 가루"
D072022,늙은 호박 영양찜닭,찜류,육류찜,"닭고기, 성계, 생것, 호박, 늙은호박, 생것, 양파, 생것, 파, 대파, 생것, 대추, 말린것, 당근, 뿌리, 생것, 표고버섯, 참나무재배, 말린것, 삶은것, 은행, 생것, 콩기름, 간장, 개량, 양조, 마늘, 생것, 맛술, 후추, 검은색, 가루, 설탕, 백설탕, 물엿, 생강, 뿌리줄기, 생것","메뉴명: 늙은 호박 영양찜닭
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 닭고기, 성계, 생것, 호박, 늙은호박, 생것, 양파, 생것, 파, 대파, 생것, 대추, 말린것, 당근, 뿌리, 생것, 표고버섯, 참나무재배, 말린것, 삶은것, 은행, 생것, 콩기름, 간장, 개량, 양조, 마늘, 생것, 맛술, 후추, 검은색, 가루, 설탕, 백설탕, 물엿, 생강, 뿌리줄기, 생것"
D072023,단호박 영양닭찜,찜류,육류찜,"호박, 단호박, 생것, 닭고기, 다리(넓적다리), 생것, 밤, 생것, 양파, 생것, 당근, 뿌리, 생것, 대추, 말린것, 은행, 생것, 양송이버섯, 생것, 잣, 생것, 호두, 말린것, 간장, 개량, 양조, 설탕, 백설탕, 마늘, 생것, 파, 대파, 생것, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루","메뉴명: 단호박 영양닭찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 호박, 단호박, 생것, 닭고기, 다리(넓적다리), 생것, 밤, 생것, 양파, 생것, 당근, 뿌리, 생것, 대추, 말린것, 은행, 생것, 양송이버섯, 생것, 잣, 생것, 호두, 말린것, 간장, 개량, 양조, 설탕, 백설탕, 마늘, 생것, 파, 대파, 생것, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루"
D072024,돼지고기 찜,찜류,육류찜,"돼지고기, 삼겹살, 생것, 된장, 개량, 파, 대파, 생것, 커피, 원두, 양파, 생것, 마늘, 생것, 후추, 검은색, 가루, 간장, 개량, 양조, 조청, 쌀, 발효주, 청주, 알코올 16%, 생강, 뿌리줄기, 생것, 설탕, 백설탕, 생수","메뉴명: 돼지고기 찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지고기, 삼겹살, 생것, 된장, 개량, 파, 대파, 생것, 커피, 원두, 양파, 생것, 마늘, 생것, 후추, 검은색, 가루, 간장, 개량, 양조, 조청, 쌀, 발효주, 청주, 알코올 16%, 생강, 뿌리줄기, 생것, 설탕, 백설탕, 생수"
D072025,마늘소스수육,찜류,육류찜,"돼지고기, 뒷다리, 생것, 무말랭이, 말린것, 미나리, 돌미나리, 생것, 마늘, 생것, 양파, 생것, 파, 대파, 생것, 월계수, 잎, 말린것, 된장, 개량, 설탕, 백설탕, 고춧가루, 간장, 개량, 양조, 까나리, 액젓, 참기름, 참깨, 흰색, 볶은것, 꿀, 식초, 감식초","메뉴명: 마늘소스수육
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지고기, 뒷다리, 생것, 무말랭이, 말린것, 미나리, 돌미나리, 생것, 마늘, 생것, 양파, 생것, 파, 대파, 생것, 월계수, 잎, 말린것, 된장, 개량, 설탕, 백설탕, 고춧가루, 간장, 개량, 양조, 까나리, 액젓, 참기름, 참깨, 흰색, 볶은것, 꿀, 식초, 감식초"
D072026,미나리삼겹살찜,찜류,육류찜,"표고버섯, 참나무재배, 생것, 미나리, 돌미나리, 생것, 돼지고기, 삼겹살, 생것, 들깻잎, 생것, 고추, 빨간색, 생것, 마늘, 생것, 맛술, 후추, 검은색, 가루, 고춧가루, 들깨, 말린것, 간장, 개량, 양조, 매실청","메뉴명: 미나리삼겹살찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 표고버섯, 참나무재배, 생것, 미나리, 돌미나리, 생것, 돼지고기, 삼겹살, 생것, 들깻잎, 생것, 고추, 빨간색, 생것, 마늘, 생것, 맛술, 후추, 검은색, 가루, 고춧가루, 들깨, 말린것, 간장, 개량, 양조, 매실청"
D072027,봄동오리쌈,찜류,육류찜,"양파, 생것, 파프리카, 노란색, 생것, 피망, 초록색, 생것, 피망, 빨간색, 생것, 배추, 봄동, 생것, 토마토, 생것, 오리고기, 조미훈제, 소금, 천일염, 가는소금, 후추, 검은색, 가루, 레몬 착즙, 올리브유, 굴 소스, 요구르트, 액상(농후), 플레인, 식이섬유 첨가","메뉴명: 봄동오리쌈
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 양파, 생것, 파프리카, 노란색, 생것, 피망, 초록색, 생것, 피망, 빨간색, 생것, 배추, 봄동, 생것, 토마토, 생것, 오리고기, 조미훈제, 소금, 천일염, 가는소금, 후추, 검은색, 가루, 레몬 착즙, 올리브유, 굴 소스, 요구르트, 액상(농후), 플레인, 식이섬유 첨가"
D072028,사태찜,찜류,육류찜,"소고기, 한우(1++등급), 사태, 생것, 무, 조선무, 생것, 당근, 뿌리, 생것, 표고버섯, 참나무재배, 말린것, 밤, 생것, 대추, 말린것, 미나리, 돌미나리, 생것, 잣, 생것, 은행, 생것, 고추, 빨간색, 생것, 달걀, 생것, 간장, 개량, 양조, 배즙, 설탕, 백설탕, 파, 대파, 생것, 마늘, 생것, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루","메뉴명: 사태찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 소고기, 한우(1++등급), 사태, 생것, 무, 조선무, 생것, 당근, 뿌리, 생것, 표고버섯, 참나무재배, 말린것, 밤, 생것, 대추, 말린것, 미나리, 돌미나리, 생것, 잣, 생것, 은행, 생것, 고추, 빨간색, 생것, 달걀, 생것, 간장, 개량, 양조, 배즙, 설탕, 백설탕, 파, 대파, 생것, 마늘, 생것, 참기름, 참깨, 흰색, 볶은것, 후추, 검은색, 가루"
D072029,애호박 소고기찜,찜류,육류찜,"호박, 애호박, 생것, 소고기, 한우, 등심, 생것, 마늘, 생것, 맛술, 후추, 검은색, 가루, 콩기름, 고춧가루, 간장, 개량, 양조","메뉴명: 애호박 소고기찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 호박, 애호박, 생것, 소고기, 한우, 등심, 생것, 마늘, 생것, 맛술, 후추, 검은색, 가루, 콩기름, 고춧가루, 간장, 개량, 양조"
D072030,오겹와인구이찜,찜류,육류찜,"돼지고기, 삼겹살, 생것, 마늘, 생것, 파, 대파, 생것, 발효주, 과실주, 포도주, 백포도주, 쇼비뇽블랑, 간장, 개량, 양조, 조청, 쌀, 생수, 부추, 재래종, 생것, 양파, 생것, 된장, 개량, 참기름, 참깨, 흰색, 볶은것","메뉴명: 오겹와인구이찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지고기, 삼겹살, 생것, 마늘, 생것, 파, 대파, 생것, 발효주, 과실주, 포도주, 백포도주, 쇼비뇽블랑, 간장, 개량, 양조, 조청, 쌀, 생수, 부추, 재래종, 생것, 양파, 생것, 된장, 개량, 참기름, 참깨, 흰색, 볶은것"
D072031,오리고기찜,찜류,육류찜,"부추, 재래종, 생것, 오리고기, 살코기, 생것, 양파, 생것, 쌈장","메뉴명: 오리고기찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 부추, 재래종, 생것, 오리고기, 살코기, 생것, 양파, 생것, 쌈장"
D072032,오색미등갈비찜,찜류,육류찜,"돼지고기, 삼겹살(등갈비), 생것, 즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수), 전분, 감자, 가루, 파, 대파, 생것, 마늘, 생것, 후추, 검은색, 가루, 간장, 개량, 양조, 굴 소스, 맛술, 꿀, 참기름","메뉴명: 오색미등갈비찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 돼지고기, 삼겹살(등갈비), 생것, 즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수), 전분, 감자, 가루, 파, 대파, 생것, 마늘, 생것, 후추, 검은색, 가루, 간장, 개량, 양조, 굴 소스, 맛술, 꿀, 참기름"
D072033,조미트볼찜,찜류,육류찜,"조, 메조, 도정, 생것, 브로콜리, 생것, 파프리카, 빨간색, 생것, 돼지고기, 등심, 생것, 발효주, 청주, 알코올 16%, 마늘, 생것, 후추, 검은색, 가루, 들깻잎, 생것, 간장, 개량, 양조, 식초, 감식초, 매실청","메뉴명: 조미트볼찜
메뉴 대분류: 찜류
메뉴 소분류: 육류찜
식재료: 조, 메조, 도정, 생것, 브로콜리, 생것, 파프리카, 빨간색, 생것, 돼지고기, 등심, 생것, 발효주, 청주, 알코올 16%, 마늘, 생것, 후추, 검은색, 가루, 들깻잎, 생것, 간장, 개량, 양조, 식초, 감식초, 매실청"
